Link,Location Name,Host Name,Address,Phone Number,Web Site,Review Count
https://www.splacer.co/venue/massive-industrial-event-space,Massive Industrial Event Space,Joshua,Jersey City | Journal Square,,,0
https://www.splacer.co/venue/modern-restaurant-below-the-highline,Modern restaurant below the Highline,Alex,New York | Manhattan,,,4
https://www.splacer.co/venue/spacious-modern-aromatic-cafe-studios,Spacious & Modern Aromatic Cafe & Studios,Yoga,New York | Manhattan,,,0
https://www.splacer.co/venue/midtown-showroom-space-for-events,Midtown showroom space for events ,Stefan,New York | Manhattan,,,0
https://www.splacer.co/venue/spacious-white-lighting-bar-beautiful,"Spacious,white,lighting,bar,beautiful ",Start,New York | Gowanus,,,0
https://www.splacer.co/venue/loft-in-the-historic-edward-mooney-house,Loft in the historic Edward Mooney House,Little,New York | Manhattan,,,0
https://www.splacer.co/venue/luxurious-speakeasy-lounge-in-midtown-east,Luxurious Speakeasy Lounge in Midtown East,Wildcard,New York | Manhattan,,,0
https://www.splacer.co/venue/loft-in-meatpacking-dist-summer-special,Loft in Meatpacking Dist. - Summer Special,CSTM,New York | Manhattan,,,0
https://www.splacer.co/venue/east-village-natural-light-loft-studio,East Village Natural Light Loft Studio,Emmanuel,New York | Manhattan,,,0
https://www.splacer.co/venue/andy-warhol-spacious-bar-restaurant-in-bk,"Andy Warhol, Spacious Bar&Restaurant in BK",SilverFactory,New York | Williamsburg,,,0
https://www.splacer.co/venue/high-end-and-expensive-feels-like-paris,High End and Expensive. Feels like Paris.,Alison,New York | Upper East Side,,,0
https://www.splacer.co/venue/arts-culture-space-heart-of-chelsea,"arts & culture space, heart of chelsea",Colleen,New York | Manhattan,,,0
https://www.splacer.co/venue/panoramic-modern-design-home,Panoramic Modern Design Home,Eduard,Edgewater,,,0
https://www.splacer.co/venue/multi-use-space-in-the-heart-of-chelsea,Multi-use space in the heart of Chelsea.,Alessandra,New York | Manhattan,,,0
https://www.splacer.co/venue/corporate-event-hall-in-downtown-brooklyn?sponsored=true,Corporate Event Hall in Downtown Brooklyn,Event,New York | Downtown Brooklyn,,,0
https://www.splacer.co/venue/columbus-circle-billiards-lounge,Columbus Circle Billiards Lounge,Rooftop,New York | Manhattan,,,0
https://www.splacer.co/venue/loon-studios-3-wall-cyclorama-more?sponsored=true,Loon Studios: 3 Wall Cyclorama & More,Brendan,New York | East Williamsburg,,,0
https://www.splacer.co/venue/chelsea-gallery-space-by-the-high-line,Chelsea Gallery Space by The High Line,Caelum,New York | Midtown,,,0
https://www.splacer.co/venue/modern-spacious-diamond-in-the-rough,"Modern, Spacious Diamond in the Rough",Michael,New York | Morrisania,,,0
https://www.splacer.co/venue/prop-studio-event-space-great-lighting,Prop Studio & Event Space (Great Lighting),Rich,New York | Manhattan,,,0
https://www.splacer.co/venue/large-unique-loft-lalita,Large Unique Loft - Lalita,camille,New York | Greenpoint,,,0
https://www.splacer.co/venue/mulberry-street-open-gallery-space,Mulberry street open gallery space ,Reza,New York | Manhattan,,,0
https://www.splacer.co/venue/2000-s-f-offices-w-kitchen-2-baths,"2000 s.f. Offices w/ Kitchen, 2 baths",Steve,New York | Midtown,,,0
https://www.splacer.co/venue/multi-room-content-creation-space,multi-room content creation space,Charity,New York | Little Haiti,,,0
https://www.splacer.co/venue/large-conference-room-bright-and-modern,"Large Conference Room, Bright and Modern",Analisa,New York | Manhattan,,,0
https://www.splacer.co/venue/grand-opening-stylish-creative-studio,Grand Opening!!! Stylish Creative Studio ,Sean-Michael,New York | Brooklyn Navy Yard,,,0
https://www.splacer.co/venue/cozy-backyard-with-optional-open-basement?sponsored=true,Cozy Backyard with optional Open Basement,Jodian,New York | Jamaica,,,0
https://www.splacer.co/venue/led-light-wall-with-rgb-controls?sponsored=true,LED Light Wall with RGB Controls,Wilber,New York | East Williamsburg,,,0
https://www.splacer.co/venue/photo-video-studio-with-natural-light,Photo/Video Studio With Natural Light,Lahor,New York | Mott Haven,,,0
https://www.splacer.co/venue/nightclub-vibed-music-rehearsal-studio,Nightclub-Vibed Music Rehearsal Studio ,John,New York | East Williamsburg,,,0
https://www.splacer.co/venue/loon-studios-3-wall-cyclorama-more,Loon Studios: 3 Wall Cyclorama & More,Brendan,New York | East Williamsburg,,,0
